what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.dltk.launching,3.0.0.v20110423,"org.eclipse.dltk.launching",1331292457838
started,bundle,org.eclipse.dltk.ui,3.0.1.v20110823,"org.eclipse.dltk.ui",1331292457843
started,bundle,org.eclipse.papyrus.sysml.modelexplorer,0.8.1.v201109161105,"org.eclipse.papyrus.sysml.modelexplorer",1331292457843
started,bundle,org.eclipse.papyrus.ui.perspectiveconfiguration,0.8.1.v201109161105,"org.eclipse.papyrus.ui.perspectiveconfiguration",1331292457844
started,bundle,org.eclipse.cdt.managedbuilder.core,8.0.1.201109151620,"org.eclipse.cdt.managedbuilder.core",1331292457845
started,bundle,org.eclipse.papyrus.uml.menu,0.8.1.v201109161105,"org.eclipse.papyrus.uml.menu",1331292457846
started,bundle,org.eclipse.xtext.gmf.glue,0.8.1.v201109161105,"org.eclipse.xtext.gmf.glue",1331292457850
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.200.v201103170332,"org.eclipse.wst.common.project.facet.core",1331292457859
started,bundle,org.eclipse.wst.web,1.1.500.v201104251400,"org.eclipse.wst.web",1331292457861
started,bundle,com.aptana.filewatcher,3.0.1.1317316381,"com.aptana.filewatcher",1331292457871
started,bundle,com.aptana.scripting,3.0.0.1327097358,"com.aptana.scripting",1331292457871
started,bundle,com.aptana.core,3.0.4.1325689477,"com.aptana.core",1331292457927
started,bundle,org.eclipse.cdt.core,5.3.1.201109151620,"org.eclipse.cdt.core",1331292457942
started,bundle,com.aptana.theme,3.0.0.1320258654,"com.aptana.theme",1331292457942
started,bundle,com.aptana.usage,3.0.0.1329151902,"com.aptana.usage",1331292457950
started,bundle,org.eclipse.ui.navigator,3.5.100.v20110809-2227,"org.eclipse.ui.navigator",1331292458010
started,bundle,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui",1331292458098
started,bundle,org.eclipse.cdt.codan.core.cxx,1.0.0.201109151620,"org.eclipse.cdt.codan.core.cxx",1331292458099
started,bundle,org.eclipse.cdt.codan.core,2.0.0.201109151620,"org.eclipse.cdt.codan.core",1331292458138
started,bundle,org.eclipse.cdt.make.ui,7.1.1.201109151620,"org.eclipse.cdt.make.ui",1331292458139
started,bundle,org.eclipse.cdt.codan.checkers,1.0.0.201109151620,"org.eclipse.cdt.codan.checkers",1331292458194
error,log,,,"(LoadError) no such file to load -- ruble/ui",1331292459786
error,log,,,"An internal error occurred during: ""Loading bundle: /Applications/eclipse/configuration/org.eclipse.osgi/bundles/1588/1/.cp/bundles/coffeescript.ruble"".",1331292459845
error,log,,,"(LoadError) no such file to load -- ruble/ui",1331292460006
error,log,,,"An internal error occurred during: ""Loading bundle: /Applications/eclipse/configuration/org.eclipse.osgi/bundles/1588/1/.cp/bundles/css.ruble"".",1331292460050
error,log,,,"(LoadError) no such file to load -- ruble/ui",1331292460106
error,log,,,"An internal error occurred during: ""Loading bundle: /Applications/eclipse/configuration/org.eclipse.osgi/bundles/1588/1/.cp/bundles/haml.ruble"".",1331292460152
error,log,,,"(LoadError) no such file to load -- ruble/ui",1331292460214
