what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.gmf.runtime.emf.commands.core,1.4.0.v20100423-2359,"org.eclipse.gmf.runtime.emf.commands.core",1331301151770
started,bundle,org.eclipse.papyrus.validation,0.8.1.v201109161105,"org.eclipse.papyrus.validation",1331301151771
started,bundle,org.eclipse.emf.ecore.change,2.7.1.v20110829-1916,"org.eclipse.emf.ecore.change",1331301151772
started,bundle,org.eclipse.papyrus.sysml.service.types,0.8.1.v201109161105,"org.eclipse.papyrus.sysml.service.types",1331301151791
started,bundle,org.eclipse.papyrus.uml.service.types,0.8.1.v201109161105,"org.eclipse.papyrus.uml.service.types",1331301151815
stopped,bundle,org.eclipse.m2e.logback.configuration,1.0.100.20110804-1717,"org.eclipse.m2e.logback.configuration",1331301152202
stopped,bundle,org.eclipse.m2e.discovery,1.0.100.20110804-1717,"org.eclipse.m2e.discovery",1331301152204
stopped,bundle,org.eclipse.m2e.refactoring,1.0.100.20110804-1717,"org.eclipse.m2e.refactoring",1331301152204
stopped,bundle,org.eclipse.m2e.editor,1.0.100.20110804-1717,"org.eclipse.m2e.editor",1331301152205
stopped,bundle,org.eclipse.m2e.editor.xml,1.0.100.20110804-1717,"org.eclipse.m2e.editor.xml",1331301152206
stopped,bundle,org.eclipse.m2e.jdt,1.0.100.20110804-1717,"org.eclipse.m2e.jdt",1331301152206
stopped,bundle,org.eclipse.m2e.launching,1.0.100.20110804-1717,"org.eclipse.m2e.launching",1331301152208
stopped,bundle,org.eclipse.m2e.usagedata,1.0.100.20110804-1717,"org.eclipse.m2e.usagedata",1331301152208
stopped,bundle,org.eclipse.jst.j2ee.xdoclet.runtime,1.1.300.v201004280700,"org.eclipse.jst.j2ee.xdoclet.runtime",1331301152209
stopped,bundle,org.eclipse.jst.j2ee.ejb.annotations.xdoclet,1.2.200.v201103302125,"org.eclipse.jst.j2ee.ejb.annotations.xdoclet",1331301152212
stopped,bundle,edu.umd.cs.findbugs.plugin.eclipse,2.0.0.20111221,"edu.umd.cs.findbugs.plugin.eclipse",1331301152263
stopped,bundle,org.eclipse.cdt,8.0.0.201109151620,"org.eclipse.cdt",1331301152263
stopped,bundle,org.eclipse.cdt.doc.user,5.1.0.201109151620,"org.eclipse.cdt.doc.user",1331301152264
stopped,bundle,org.eclipse.papyrus.collaborationuse.editor.xtext.ui,0.8.1.v201109161105,"org.eclipse.papyrus.collaborationuse.editor.xtext.ui",1331301152264
stopped,bundle,org.eclipse.papyrus.diagram.activity,0.8.1.v201109161105,"org.eclipse.papyrus.diagram.activity",1331301152265
stopped,bundle,org.eclipse.papyrus.sysml.diagram.blockdefinition,0.8.1.v201109161105,"org.eclipse.papyrus.sysml.diagram.blockdefinition",1331301152278
stopped,bundle,org.eclipse.papyrus.sysml.diagram.requirement,0.8.1.v201109161105,"org.eclipse.papyrus.sysml.diagram.requirement",1331301152279
stopped,bundle,org.eclipse.papyrus.uml.diagram.pkg,0.8.1.v201109161105,"org.eclipse.papyrus.uml.diagram.pkg",1331301152279
stopped,bundle,org.eclipse.papyrus.diagram.clazz,0.8.1.v201109161105,"org.eclipse.papyrus.diagram.clazz",1331301152280
stopped,bundle,org.eclipse.papyrus.diagram.common.groups,0.8.1.v201109161105,"org.eclipse.papyrus.diagram.common.groups",1331301152281
stopped,bundle,org.eclipse.papyrus.diagram.communication,0.8.1.v201109161105,"org.eclipse.papyrus.diagram.communication",1331301152281
stopped,bundle,org.eclipse.papyrus.diagram.component,0.9.0.v201109161105,"org.eclipse.papyrus.diagram.component",1331301152283
stopped,bundle,org.eclipse.papyrus.sysml.diagram.internalblock,0.8.1.v201109161105,"org.eclipse.papyrus.sysml.diagram.internalblock",1331301152283
stopped,bundle,org.eclipse.papyrus.diagram.composite,0.8.1.v201109161105,"org.eclipse.papyrus.diagram.composite",1331301152283
stopped,bundle,org.eclipse.papyrus.diagram.deployment,0.9.0.v201109161105,"org.eclipse.papyrus.diagram.deployment",1331301152283
stopped,bundle,org.eclipse.papyrus.table.menu,0.8.1.v201109161105,"org.eclipse.papyrus.table.menu",1331301152285
stopped,bundle,org.eclipse.papyrus.diagram.menu,0.8.1.v201109161105,"org.eclipse.papyrus.diagram.menu",1331301152285
stopped,bundle,org.eclipse.papyrus.diagram.profile,0.8.1.v201109161105,"org.eclipse.papyrus.diagram.profile",1331301152286
stopped,bundle,org.eclipse.papyrus.diagram.sequence,0.8.1.v201109161105,"org.eclipse.papyrus.diagram.sequence",1331301152287
stopped,bundle,org.eclipse.papyrus.diagram.statemachine,0.8.1.v201109161105,"org.eclipse.papyrus.diagram.statemachine",1331301152287
stopped,bundle,org.eclipse.papyrus.diagram.usecase,0.8.1.v201109161105,"org.eclipse.papyrus.diagram.usecase",1331301152288
stopped,bundle,org.eclipse.papyrus.properties.notation,0.8.1.v201109161105,"org.eclipse.papyrus.properties.notation",1331301152289
stopped,bundle,org.eclipse.papyrus.properties.sysml,0.8.1.v201109161105,"org.eclipse.papyrus.properties.sysml",1331301152289
stopped,bundle,org.eclipse.papyrus.table.widgets.celleditors.uml,0.8.1.v201109161105,"org.eclipse.papyrus.table.widgets.celleditors.uml",1331301152290
stopped,bundle,org.eclipse.papyrus.properties.uml,0.8.1.v201109161105,"org.eclipse.papyrus.properties.uml",1331301152290
stopped,bundle,org.eclipse.papyrus.profile,0.8.1.v201109161105,"org.eclipse.papyrus.profile",1331301152291
stopped,bundle,org.eclipse.papyrus.properties.tabbed.profile,0.8.1.v201109161105,"org.eclipse.papyrus.properties.tabbed.profile",1331301152291
stopped,bundle,org.eclipse.papyrus.sysml.diagram.ui,0.8.1.v201109161105,"org.eclipse.papyrus.sysml.diagram.ui",1331301152292
